Test_0,Test_1,Test_2,Test_3,Test_4,Test_5,Test_6,Test_7,Test_8,Test_9,Test_10,Test_11,Test_12,Test_13,Test_14,Test_15,RMA
261.36,E,Low,OP-1,True,102.14,False,True,2018.0,58.9,nov,136,1,120,1,TP-1549,False
268.62,H,Mid,OP-17,True,655.4200000000001,False,True,2018.0,62.0,apr,114,1,152,2,TP-1549,False
297.66,F,Low,OP-1,True,605.5,False,False,2018.0,65.1,nov,285,3,116,4,TP-1549,False
515.46,,Low,OP-17,True,144.78,True,True,2018.0,83.7,jan,208,1,93,2,TP-1549,False
290.4,D,Low,OP-4,True,416.22,False,True,2019.0,37.2,may,58,2,334,1,TP-1549,False
261.36,F,Low,OP-17,True,54.56,False,True,2018.0,83.7,jan,100,1,435,1,TP-1549,False
239.58,F,Mid,OP-17,True,233.96,True,False,2018.0,15.5,feb,193,1,176,8,TP-1549,False
297.66,C,Low,OP-17,True,45.46,True,True,2018.0,89.9,jan,41,2,266,2,TP-1549,False
304.92,D,High,OP-1,True,440.66,False,True,2018.0,18.6,may,203,2,334,2,TP-1549,False
275.88,C,Low,OP-17,True,53.0,False,True,2018.0,40.3,may,537,5,303,2,TP-1549,False
239.58,D,Low,OP-1,True,64.18,False,True,2018.0,43.4,may,332,2,358,2,TP-1549,False
290.4,E,Low,OP-1,True,96.42,False,False,2018.0,24.8,may,380,4,295,1,TP-1549,False
304.92,A,Low,OP-1,True,388.14,True,True,2018.0,46.5,jul,250,4,415,2,TP-1549,True
363.0,C,Low,OP-17,True,54.04,True,True,2018.0,52.7,nov,223,1,96,2,TP-1549,False
239.58,F,Mid,OP-1,True,292.20000000000005,False,True,2018.0,65.1,nov,58,1,122,4,TP-1549,False
232.32,C,Mid,OP-17,True,234.22,True,True,2018.0,21.7,aug,119,1,99,3,TP-1549,False
275.88,C,Mid,OP-17,True,3165.46,False,True,,52.7,nov,609,2,101,3,TP-1549,False
261.36,C,Mid,OP-17,True,180.4,True,True,2018.0,86.8,aug,207,8,98,1,TP-1549,True
